"Date","Price","Open","High","Low","Change %"
"Nov 16, 2017","306.250","314.750","315.250","306.050","0.16%"
"Nov 15, 2017","305.750","315.250","315.250","305.750","0.00%"
"Nov 14, 2017","305.750","315.250","315.250","305.750","0.00%"
"Nov 13, 2017","305.750","314.750","315.250","305.700","-2.86%"
"Nov 10, 2017","314.750","315.250","315.250","306.050","2.96%"
"Nov 09, 2017","305.700","315.250","315.250","305.700","0.00%"
"Nov 08, 2017","305.700","305.250","315.250","305.250","0.02%"
"Nov 07, 2017","305.650","314.750","315.250","305.650","0.00%"
"Nov 06, 2017","305.650","306.050","314.750","305.650","0.00%"
"Nov 03, 2017","305.650","314.750","315.250","305.600","0.02%"
"Nov 02, 2017","305.600","315.250","315.250","305.600","0.00%"
"Nov 01, 2017","305.600","315.250","315.250","305.600","-7.46%"
"Oct 31, 2017","330.250","315.250","330.250","306.050","8.08%"
"Oct 30, 2017","305.550","314.750","325.250","305.550","0.02%"
"Oct 27, 2017","305.500","315.250","315.250","305.500","0.00%"
"Oct 26, 2017","305.500","315.250","325.250","305.500","-3.09%"
"Oct 25, 2017","315.250","305.900","315.250","305.900","3.21%"
"Oct 24, 2017","305.450","305.950","315.250","305.450","0.02%"
"Oct 23, 2017","305.400","314.750","315.250","305.400","0.00%"
"Oct 20, 2017","305.400","314.750","315.250","305.350","-2.97%"
"Oct 19, 2017","314.750","315.250","315.250","314.750","3.08%"
"Oct 18, 2017","305.350","315.250","315.250","305.300","-0.13%"
"Oct 17, 2017","305.750","315.250","315.250","305.750","0.00%"
"Oct 16, 2017","305.750","314.750","315.250","305.750","0.11%"
"Oct 13, 2017","305.400","315.250","325.250","305.400","-0.13%"
"Oct 12, 2017","305.800","314.750","315.250","305.800","0.16%"
"Oct 11, 2017","305.300","315.250","315.250","305.300","-3.00%"
"Oct 10, 2017","314.750","305.950","325.250","305.850","2.88%"
"Oct 09, 2017","305.950","305.950","315.250","305.900","-2.80%"
"Oct 06, 2017","314.750","314.250","314.750","305.900","3.06%"
"Oct 05, 2017","305.400","305.950","314.750","305.400","-0.02%"
"Oct 04, 2017","305.450","314.750","315.250","305.450","-0.26%"
"Oct 03, 2017","306.250","314.750","314.750","306.000","0.08%"
"Oct 02, 2017","306.000","0.250","0.250","0.250","0.00%"
"Sep 29, 2017","306.000","314.250","314.750","305.700","0.10%"
"Sep 28, 2017","305.700","314.750","314.750","305.250","0.15%"
"Sep 27, 2017","305.250","314.750","314.750","305.250","-3.02%"
