Date,S&P500,DJIA,DAX,FTSE100,HSI,KOSPI,NIFTY50
2008-08-15,1298.199951,11659.900391,6446.02002,5454.799805,21160.580078,,
2008-08-18,1278.599976,11479.389648,6432.879883,5450.200195,20930.669922,1567.709961,4393.049805
2008-08-19,1266.689941,11348.549805,6282.430176,5320.399902,20484.369141,1541.410034,4368.25
2008-08-20,1274.540039,11417.429688,6317.799805,5371.799805,20931.259766,1540.709961,4415.75
2008-08-21,1277.719971,11430.209961,6236.959961,5370.200195,20392.060547,1512.589966,4283.850098
2008-08-22,1292.199951,11628.05957,6342.419922,5505.600098,20392.060547,1496.910034,4327.450195
2008-08-25,1266.839966,11386.25,6296.950195,,21104.789063,1502.109985,4335.350098
2008-08-26,1271.51001,11412.870117,6340.52002,5470.700195,21056.660156,1490.25,4337.5
2008-08-27,1281.660034,11502.509766,6321.029785,5528.200195,21464.720703,1493.920044,4292.100098
2008-08-28,1300.680054,11715.179688,6420.540039,5601.200195,20972.289063,1474.150024,4214.0
2008-08-29,1282.829956,11543.959961,6422.299805,5636.600098,21261.890625,1474.23999,4360.0
2008-09-02,1277.579956,11516.919922,6518.470215,5620.700195,21042.460938,1407.140015,4504.0
2008-09-03,1274.97998,11532.879883,6467.490234000001,5499.700195,20585.060547,1426.890015,
2008-09-04,1236.829956,11188.230469,6279.569824,5362.100098,20389.480469,1426.430054,4447.75
2008-09-05,1242.310059,11220.959961,6127.439941,5240.700195,19933.279297,1404.380005,4352.299805
2008-09-08,1267.790039,11510.740234,6263.740234000001,5446.299805,20794.269531,1476.650024,4482.299805
2008-09-09,1224.51001,11230.730469,6233.410156,5415.600098,20491.109375,1454.5,4468.700195
2008-09-10,1232.040039,11268.919922,6210.319824,5366.200195,19999.779297,1464.97998,4400.25
2008-09-11,1249.050049,11433.709961,6178.899902,5318.399902,19388.720703,1443.23999,4290.299805
2008-09-12,1251.699951,11421.990234,6234.890136999999,5416.700195,19352.900391,1477.920044,4228.450195
2008-09-15,1192.699951,10917.509766,6064.160156,5204.200195,,,4072.899902
2008-09-16,1213.599976,11059.019531,5965.169922,5025.600098,18300.609375,1387.75,4074.899902
2008-09-17,1156.390015,10609.660156,5860.97998,4912.399902,17637.189453,1425.26001,4008.25
2008-09-18,1206.51001,11019.69043,5863.419922,4880.0,17632.460938,1392.420044,4038.149902
2008-09-19,1255.079956,11388.44043,6189.529785,5311.299805,19327.730469,1455.780029,4245.25
2008-09-22,1207.089966,11015.69043,6107.75,5236.299805,19632.199219,1460.339966,4223.049805
2008-09-23,1188.219971,10854.169922,6068.529785,5136.100098,18872.849609,1481.369995,4126.899902
2008-09-24,1185.869995,10825.169922,6052.870117,5095.600098,18961.990234,1495.97998,4161.25
2008-09-25,1209.180054,11022.05957,6173.029785,5197.0,18934.429688,1501.630005,4110.549805
2008-09-26,1213.27002,11143.129883,6063.5,5088.5,18682.089844,1476.329956,3985.25
2008-09-29,1106.420044,10365.450195,5807.080078,4818.799805,17880.679688,1456.359985,3850.0500490000004
2008-09-30,1166.359985,10850.660156,5831.02002,4902.5,18016.210938,1448.060059,3921.1999509999996
2008-10-01,1161.060059,10831.070313,5806.330078,4959.600098,,1439.670044,3950.75
2008-10-02,1114.280029,10482.849609,5660.629883,4870.299805,18211.109375,1419.650024,
2008-10-03,1099.22998,10325.379883,5797.029785,4980.299805,17682.400391,,3818.3000490000004
2008-10-06,1056.890015,9955.5,5387.009765999999,4589.200195,16803.759766,1358.75,3602.350098
2008-10-07,996.2299800000001,9447.110352,5326.629883,4605.200195,,1366.099976,3606.600098
2008-10-08,984.9400019999999,9258.099609,5013.620117,4366.700195,15431.730469,1286.689941,3513.649902
2008-10-09,909.919983,8579.19043,4887.0,4313.799805,15943.240234,1294.890015,
2008-10-10,899.2199710000001,8451.19043,4544.310059,3932.100098,14796.870116999999,1241.469971,3279.949951
2008-10-13,1003.349976,9387.610352,5062.450195,4256.899902,16312.160156,1288.530029,3490.6999509999996
2008-10-14,998.01001,9310.990234,5199.189941,4394.200195,16832.880859,1367.689941,3518.649902
2008-10-15,907.840027,8577.910156,4861.629883,4079.600098,15998.299805,1340.280029,3338.399902
2008-10-16,946.429993,8979.259766,4622.810059,3861.399902,15230.519531,1213.780029,3269.300049
2008-10-17,940.5499880000001,8852.219727,4781.330078,4063.0,14554.209961000002,1180.670044,3074.350098
2008-10-20,985.400024,9265.429688,4835.009765999999,4282.700195,15323.009766,1207.630005,3122.800049
2008-10-21,955.0499880000001,9033.660156,4784.410156,4229.700195,15041.169922,1196.099976,3234.899902
2008-10-22,896.7800289999999,8519.209961,4571.069824,4040.899902,14266.599609,1134.589966,3065.149902
2008-10-23,908.1099849999999,8691.25,4519.700195,4087.8000490000004,13760.490234,1049.709961,2943.149902
2008-10-24,876.7700199999999,8378.950195,4295.669922,3883.399902,12618.379883,938.75,2584.0
2008-10-27,848.919983,8175.77002,4334.640136999999,3852.600098,11015.839844,946.4500119999999,2524.199951
2008-10-28,940.51001,9065.120117,4823.450195,3926.399902,12596.290039,999.159973,
2008-10-29,930.090027,8990.959961,4808.689941,4242.5,12702.070313,968.9699710000001,2697.050049
2008-10-30,954.090027,9180.69043,4869.299805,4291.700195,14329.849609,1084.719971,
2008-10-31,968.75,9325.009766,4987.970215,4377.299805,13968.669922,1113.060059,2885.600098
2008-11-03,966.2999880000001,9319.830078,5026.839844,4443.299805,14344.370116999999,1129.079956,3043.850098
2008-11-04,1005.75,9625.280273,5278.040039,4639.5,14384.339844,1153.349976,3142.100098
2008-11-05,952.7700199999999,9139.269531,5166.870117,4530.700195,14840.160156,1181.5,2994.949951
2008-11-06,904.8800050000001,8695.790039,4813.569824,4272.399902,13790.040038999998,1092.219971,2892.649902
2008-11-07,930.98999,8943.80957,4938.459961,4365.0,14243.429688,1134.48999,2973.0
2008-11-10,919.2100220000001,8870.540039,5025.529785,4403.899902,14744.629883000001,1152.459961,3148.25
2008-11-11,898.9500119999999,8693.959961,4761.580078,4246.700195,14040.900391,1128.72998,2938.649902
2008-11-12,852.2999880000001,8282.660156,4620.799805,4182.0,13939.089844,1123.859985,2848.449951
2008-11-13,911.2899779999999,8835.25,4649.52002,4169.200195,13221.349609,1088.439941,
2008-11-14,873.2899779999999,8497.30957,4710.240234000001,4233.0,13542.660156,1088.26001,2810.350098
2008-11-17,850.75,8273.580078,4557.27002,4132.200195,13529.530272999998,1078.319946,2799.550049
2008-11-18,859.1199949999999,8424.75,4579.470215,4208.600098,12915.889648,1036.160034,2683.149902
2008-11-19,806.580017,7997.279785,4354.089844,4005.6999509999996,12815.799805,1016.820007,2635.0
2008-11-20,752.4400019999999,7552.290039,4220.200195,3875.0,12298.55957,948.6900019999999,2553.149902
2008-11-21,800.030029,8046.419922,4127.410156,3781.0,12659.200195,1003.7299800000001,2693.449951
2008-11-24,851.8099980000001,8443.389648,4554.330078,4153.0,12457.94043,970.1400150000001,2708.25
2008-11-25,857.3900150000001,8479.469727,4560.419922,4171.299805,12878.599609,983.320007,2654.0
2008-11-26,887.679993,8726.610352,4560.5,4152.700195,13369.450195,1029.780029,2752.25
2008-11-28,896.23999,8829.040039,4669.439941,4288.0,13888.240234,1076.069946,2755.100098
2008-12-01,816.210022,8149.089844,4394.790039,4065.5,14108.839844,1058.619995,2682.899902
2008-12-02,848.8099980000001,8419.089844,4531.790039,4122.899902,13405.849609,1023.2000119999999,2657.800049
2008-12-03,870.73999,8591.69043,4567.240234000001,4170.0,13588.660156,1022.669983,2656.449951
2008-12-04,845.2199710000001,8376.240234,4564.22998,4163.600098,13509.780272999998,1006.5399779999999,2788.0
2008-12-05,876.070007,8635.419922,4381.470215,4049.399902,13846.089844,1028.130005,2714.399902
2008-12-08,909.7000119999999,8934.179688,4715.879883,4300.100098,15044.870116999999,1105.050049,2784.0
2008-12-09,888.669983,8691.330078,4779.109863000001,4381.299805,14753.219727000002,1105.839966,
2008-12-10,899.23999,8761.419922,4804.879883,4367.299805,15577.740234,1145.869995,2928.25
2008-12-11,873.590027,8565.089844,4767.200195,4388.700195,15613.900391,1154.430054,2920.149902
2008-12-12,879.7299800000001,8629.679688,4663.370117,4280.399902,14758.389647999998,1103.819946,2921.350098
2008-12-15,868.570007,8564.530273,4654.819824,4277.600098,15046.950195,1158.189941,2981.199951
2008-12-16,913.179993,8924.139648,4729.910156,4309.100098,15130.209961000002,1161.560059,3041.75
2008-12-17,904.419983,8824.339844,4708.379883,4324.200195,15460.519531,1169.75,2954.350098
2008-12-18,885.2800289999999,8604.990234,4756.399902,4330.700195,15497.80957,1175.910034,3060.75
2008-12-19,887.8800050000001,8579.110352,4696.700195,4286.899902,15127.509766,1180.969971,3077.5
2008-12-22,871.6300050000001,8519.69043,4639.02002,4249.200195,14622.389647999998,1179.609985,3039.300049
2008-12-23,863.159973,8419.490234,4629.379883,4256.0,14220.790038999998,1144.310059,2968.649902
2008-12-24,868.150024,8468.480469,,4216.600098,14184.139647999998,1128.51001,2916.850098
2008-12-26,872.7999880000001,8515.549805,,,,1117.859985,2857.25
2008-12-29,869.419983,8483.929688,4704.859863000001,4319.399902,14328.480469,1117.589966,2922.199951
2008-12-30,890.6400150000001,8668.389648,4810.200195,4392.700195,14235.5,1124.469971,2979.5
2008-12-31,903.25,8776.389648,,4434.200195,14387.480469,,2959.149902
2009-01-02,931.7999880000001,9034.69043,4973.069824,4561.799805,15042.80957,1157.400024,3046.75
2009-01-05,927.4500119999999,8952.889648,4983.990234000001,4579.600098,15563.30957,1173.569946,3121.449951
2009-01-06,934.7000119999999,9015.099609,5026.310059,4638.899902,15509.509766,1194.280029,3112.800049
2009-01-07,906.650024,8769.700195,4937.470215,4507.5,14987.459961000002,1228.170044,2920.399902
2009-01-08,909.7299800000001,8742.459961,4879.910156,4505.399902,14415.910156,1205.699951,
2009-01-09,890.349976,8599.179688,4783.890136999999,4448.5,14377.44043,1180.959961,2873.0
2009-01-12,870.26001,8473.969727,4719.620117,4426.200195,13971.0,1156.75,2773.100098
2009-01-13,871.7899779999999,8448.55957,4636.939941,4399.200195,13668.049805,1167.709961,2744.949951
2009-01-14,842.6199949999999,8200.139648,4422.350098,4180.600098,13704.610352000002,1182.680054,2835.300049
2009-01-15,843.73999,8212.490234,4336.72998,4121.100098,13242.959961,1111.339966,2736.699951
2009-01-16,850.1199949999999,8281.219727,4366.279785,4147.100098,13255.509766,1135.199951,2828.449951
2009-01-20,805.219971,7949.089844,4239.850098,4091.399902,12959.769531,1126.810059,2796.600098
2009-01-21,840.23999,8228.099609,4261.149902,4059.899902,12583.629883,1103.609985,2706.149902
2009-01-22,827.5,8122.799805,4219.419922,4052.1999509999996,12657.990234,1116.22998,2713.800049
2009-01-23,831.950012,8077.560059,4178.939941,4052.5,12578.599609,1093.400024,2678.550049
2009-01-26,836.570007,8116.029785,4326.870117,4209.0,,,
2009-01-27,845.7100220000001,8174.72998,4323.419922,4194.399902,,,2771.350098
2009-01-28,874.090027,8375.450195,4518.720215,4295.200195,,1157.97998,2849.5
2009-01-29,845.1400150000001,8149.009765999999,4428.109863000001,4190.100098,13154.429688,1166.560059,2823.949951
2009-01-30,825.880005,8000.859863,4338.350098,4149.600098,13278.209961,1162.109985,2874.800049
2009-02-02,825.4400019999999,7936.75,4271.040039,4077.8000490000004,12861.490234,1146.949951,2766.649902
2009-02-03,838.51001,8078.359863,4374.959961,4164.5,12776.889648,1163.199951,2783.899902
2009-02-04,832.22998,7956.660156,4492.790039,4228.600098,13063.889648,1195.369995,2803.050049
2009-02-05,845.849976,8063.069823999999,4510.490234000001,4228.899902,13178.900391,1177.880005,2780.050049
2009-02-06,868.599976,8280.589844,4644.629883,4291.899902,13655.040038999998,1210.26001,2843.100098
2009-02-09,869.8900150000001,8270.870117,4666.819824,4307.600098,13769.05957,1202.689941,2919.899902
2009-02-10,827.159973,7888.879883,4505.540039,4213.100098,13880.639647999998,1198.869995,2934.5
2009-02-11,833.73999,7939.529785,4530.089844,4234.299805,13539.209961000002,1190.180054,2925.699951
2009-02-12,835.1900019999999,7932.759765999999,4407.560059,4202.200195,13228.299805,1179.839966,2893.050049
